comment_id	comment_length	author	city	age
505538	4	52597375	0	0
505540	9	377935868	0	0
505541	2	196451407	Львов	15
505542	9	22055592	Астрахань	0
505543	4	416314785	0	0
505544	4	345068362	0	0
505546	4	15202178	Казань	0
505547	6	4283215	Радужный	27
505548	6	31234830	Москва	18
505549	4	4566200	Санкт-Петербург	22
505550	5	92295861	Верхняя_Пышма	17
505551	4	69708079	Ставрополь	0
505552	2	296950506	0	17
505554	5	336116972	0	0
505555	7	351310738	Бишкек	22
505556	2	243290091	Камызяк	15
505557	4	6700387	Москва	0
505558	12	5375336	Ростов-на-Дону	25
505559	4	30539361	Москва	23
505560	4	68246620	0	0
505562	9	30539361	Москва	23
505563	4	63162578	Магнитогорск	105
505564	9	295315567	Редкино	0
505565	6	3528458	Москва	24
505566	3	316799	Санкт-Петербург	0
505567	4	9922243	Киев	0
505568	2	6279901	Ульяновск	25
505569	4	116310780	Владимир	0
505570	4	93323406	0	0
505571	4	3597909	Петрозаводск	29
505572	4	139589530	0	0
505573	2	23942926	0	0
505574	4	212221159	Москва	21
505575	8	171875998	Ижевск	0
505576	6	84421108	Снежногорск	29
505577	4	29702987	Киев	19
505578	12	11535766	Ярославль	26
505579	4	16023273	Екатеринбург	0
505580	10	112023644	Ижевск	36
505581	10	254179	Челябинск	33
505582	5	107157514	Киев	0
505583	3	107157514	Киев	0
505585	6	198195172	0	0
505586	10	112023644	Ижевск	36
505587	4	17354607	Днепропетровск_(Днепр)	18
505588	3	17354607	Днепропетровск_(Днепр)	18
505589	2	243290091	Камызяк	15
505591	2	112023644	Ижевск	36
505592	6	252836883	0	94
505593	6	3240566	Владимир	41
505594	9	35873005	0	0
505595	1	401683954	0	47
505596	13	112023644	Ижевск	36
505597	3	176528589	Волжский	18
505598	5	96438528	Уфа	0
505599	7	314728310	Архангельск	0
505600	4	81469619	Ухта	0
505602	4	179604253	Tokyo	18
505605	5	53764668	Tallinn_(Таллин)	22
505606	8	3240566	Владимир	41
505608	16	198361674	Москва	20
505609	10	18769443	0	0
505610	4	35300879	Москва	20
